"UNITID","Students","Demographic"
115357,243,"women"
115393,7676,"men"
115393,6885,"women"
115409,524,"men"
115409,492,"women"
115658,5,"men"
115658,110,"women"
115746,247,"men"
115746,709,"women"
115755,2911,"men"
115755,3869,"women"
115773,289,"men"
115773,608,"women"
115861,4807,"men"
115861,6290,"women"
115931,956,"men"
115931,183,"women"
116226,9,"men"
116226,137,"women"
116439,8941,"men"
116439,8921,"women"
116563,8,"men"
116563,310,"women"
116846,62,"men"
116846,182,"women"
117052,6605,"men"
117052,8440,"women"
117104,268,"men"
117104,328,"women"
117140,2381,"men"
117140,4208,"women"
117168,238,"men"
117168,655,"women"
117195,5498,"men"
117195,3795,"women"
117238,46,"men"
117238,127,"women"
117247,7510,"men"
117247,8864,"women"
117274,1851,"men"
117274,947,"women"
117283,51,"men"
117283,67,"women"
117520,420,"men"
117520,328,"women"
117557,394,"men"
117557,229,"women"
117575,133,"men"
117575,104,"women"
117627,790,"men"
117627,1127,"women"
117636,1654,"men"
117636,3325,"women"
117645,15421,"men"
117645,20121,"women"
117672,1338,"men"
117672,2986,"women"
117690,6616,"men"
117690,9796,"women"
117706,11728,"men"
117706,13938,"women"
117715,3811,"men"
117715,6452,"women"
117724,11727,"men"
117724,9322,"women"
117733,11552,"men"
117733,15028,"women"
117751,1933,"men"
117751,1185,"women"
117788,10735,"men"
117788,14569,"women"
117803,102,"men"
117803,220,"women"
117867,7933,"men"
117867,11166,"women"
117894,4975,"men"
117894,6663,"women"
117946,4849,"men"
117946,6271,"women"
117955,98,"men"
117955,356,"women"
118134,1,"men"
118134,168,"women"
118143,6,"men"
118143,147,"women"
118161,3,"men"
118161,185,"women"
118198,478,"men"
118198,1680,"women"
118347,3006,"men"
118347,3939,"women"
118684,2366,"men"
118684,4119,"women"
118693,518,"men"
118693,373,"women"
118718,7204,"men"
118718,10141,"women"
118772,4437,"men"
118772,7512,"women"
118888,344,"men"
118888,344,"women"
118912,7650,"men"
118912,10459,"women"
118930,5312,"men"
118930,6092,"women"
118958,44,"men"
118958,78,"women"
118976,9140,"men"
118976,14375,"women"
118994,308,"men"
118994,289,"women"
119058,182,"men"
119058,394,"women"
119067,5220,"men"
119067,5845,"women"
119137,9821,"men"
119137,11904,"women"
119164,18554,"men"
119164,21408,"women"
119173,353,"men"
119173,2444,"women"
119216,9640,"men"
119216,14700,"women"
119270,873,"men"
119270,338,"women"
119331,2630,"men"
119331,3649,"women"
119553,600,"men"
119553,1450,"women"
119605,12579,"men"
119605,20234,"women"
119678,3310,"men"
119678,876,"women"
119775,190,"men"
119775,141,"women"
119951,21,"men"
119951,323,"women"
120069,86,"men"
120069,452,"women"
120078,148,"men"
120078,888,"women"
120087,97,"men"
120087,334,"women"
120166,267,"men"
120166,278,"women"
120184,82,"men"
120184,237,"women"
120254,802,"men"
120254,1166,"women"
120290,9076,"men"
120290,6149,"women"
120342,11258,"men"
120342,11449,"women"
120403,409,"men"
120403,933,"women"
120421,5258,"men"
120421,6195,"women"
120537,435,"men"
120537,739,"women"
120661,150,"men"
120661,602,"women"
120698,212,"men"
120698,1062,"women"
120768,214,"men"
120768,1303,"women"
120795,62,"men"
120795,91,"women"
120838,40,"men"
120838,31,"women"
120865,448,"men"
120865,833,"women"
120883,3108,"men"
120883,4299,"women"
120953,4849,"men"
120953,941,"women"
120971,14547,"men"
120971,12550,"women"
121044,16456,"men"
121044,19083,"women"
121150,3893,"men"
121150,7897,"women"
121257,507,"men"
121257,729,"women"
121309,1718,"men"
121309,3613,"women"
121345,797,"men"
121345,966,"women"
121363,2817,"men"
121363,4193,"women"
121433,5,"men"
121433,133,"women"
121619,24628,"men"
121619,18201,"women"
121628,106,"men"
121628,76,"women"
121637,21,"men"
121637,174,"women"
121691,1468,"men"
121691,2175,"women"
121707,2951,"men"
121707,3152,"women"
121859,21,"men"
121859,407,"women"
121868,2,"men"
121868,345,"women"
121886,16297,"men"
121886,11700,"women"
121901,11984,"men"
121901,17621,"women"
122117,41,"men"
122117,94,"women"
122180,12219,"men"
122180,17881,"women"
122205,13885,"men"
122205,17456,"women"
122296,505,"men"
122296,1913,"women"
122339,9814,"men"
122339,11646,"women"
122375,13565,"men"
122375,16639,"women"
122384,12329,"men"
122384,10576,"women"
122409,18093,"men"
