"unitid","Year","Murder","Negligent Manslaughter","Rape","Fondling","Incest","Statuatory Rape","Robbery","Aggravated Assault","Burglary","Motor Vehicle Theft","Arson"
104151008,"2019",0,0,0,0,0,0,0,0,0,0,0
104160001,"2019",0,0,0,0,0,1,0,0,0,0,0
104160002,"2019",0,0,0,0,0,0,0,0,0,0,0
104160003,"2019",0,0,0,0,0,0,0,0,0,0,0
104160004,"2019",0,0,0,0,0,0,0,0,0,0,0
104160005,"2019",0,0,0,0,0,0,0,0,0,0,0
104179001,"2019",0,0,37,9,0,0,3,6,47,4,2
104179002,"2019",0,0,0,0,0,0,0,0,0,1,0
104346001,"2019",0,0,0,1,0,0,0,1,0,0,0
104346002,"2019",0,0,0,0,0,0,0,0,0,0,0
104346003,"2019",0,0,0,0,0,0,0,0,3,0,0
104346004,"2019",0,0,0,0,0,0,0,0,0,0,0
104346005,"2019",0,0,0,0,0,0,0,0,0,0,0
104346010,"2019",0,0,0,0,0,0,0,0,0,0,0
104346012,"2019",0,0,0,0,0,0,0,0,0,0,0
104346013,"2019",0,0,0,0,0,0,0,0,0,0,0
104391001,"2019",0,0,0,0,0,0,0,0,0,0,0
104425001,"2019",0,0,0,0,0,0,0,0,0,0,0
104434001,"2019",0,0,0,0,0,0,0,0,0,0,0
104443001,"2019",0,0,0,0,0,0,0,0,0,0,0
104568001,"2019",0,0,0,0,0,0,0,1,0,0,0
104577001,"2019",0,0,1,0,0,0,0,0,0,0,0
104577002,"2019",0,0,0,0,0,0,0,0,0,0,0
104577003,"2019",0,0,0,0,0,0,0,0,0,0,0
104586001,"2019",0,0,0,0,0,0,0,0,0,0,0
104665001,"2019",0,0,0,0,0,0,0,0,0,0,0
104665002,"2019",0,0,0,0,0,0,0,0,0,0,0
104708001,"2019",0,0,0,0,0,0,0,2,1,1,0
104708002,"2019",0,0,0,0,0,0,0,0,0,0,0
104717001,"2019",0,0,12,4,0,0,1,0,12,4,0
105145001,"2019",0,0,0,0,0,0,0,0,2,4,0
105145002,"2019",0,0,0,0,0,0,0,0,0,0,0
105154001,"2019",0,0,0,0,0,0,0,0,0,5,0
105154002,"2019",0,0,0,0,0,0,0,0,0,0,0
105154003,"2019",0,0,0,0,0,0,0,0,0,0,0
105206001,"2019",0,0,0,0,0,0,0,0,1,0,0
105206002,"2019",0,0,0,0,0,0,0,0,0,1,0
105206003,"2019",0,0,0,0,0,0,0,0,0,0,0
105206004,"2019",0,0,0,0,0,0,0,0,0,0,0
105215001,"2019",0,0,0,0,0,0,0,0,0,0,0
105297001,"2019",0,0,0,0,0,0,0,4,0,0,0
105297002,"2019",0,0,0,0,0,0,0,0,0,0,0
105297003,"2019",0,0,0,0,0,0,0,0,0,0,0
105297004,"2019",0,0,0,0,0,0,0,0,0,0,0
105297005,"2019",0,0,0,0,0,0,0,0,0,0,0
105297007,"2019",0,0,0,0,0,0,0,1,0,0,0
105330001,"2019",0,0,14,3,0,0,4,0,13,4,0
105330003,"2019",0,0,0,0,0,0,0,0,0,0,0
105330005,"2019",0,0,0,0,0,0,0,0,0,1,0
105330006,"2019",0,0,0,0,0,0,0,0,0,0,0
105330007,"2019",0,0,0,0,0,0,0,2,1,1,0
105330009,"2019",0,0,0,0,0,0,0,0,0,0,0
105330010,"2019",0,0,0,0,0,0,0,0,0,0,0
105330011,"2019",0,0,0,0,0,0,0,0,0,0,0
105330012,"2019",0,0,0,0,0,0,1,0,1,0,0
105330013,"2019",0,0,0,0,0,0,0,0,0,0,0
105330014,"2019",0,0,0,0,0,0,0,0,0,0,0
105330015,"2019",0,0,0,0,0,0,0,0,0,0,0
105330016,"2019",0,0,0,0,0,0,0,0,0,0,0
105330017,"2019",0,0,0,0,0,0,0,0,0,0,0
105330018,"2019",0,0,0,0,0,0,0,0,0,0,0
105330019,"2019",0,0,0,0,0,0,0,0,0,0,0
105330020,"2019",0,0,0,0,0,0,0,0,0,0,0
105330021,"2019",0,0,0,0,0,0,0,0,0,0,0
105330025,"2019",0,0,0,0,0,0,0,0,0,0,0
105330027,"2019",0,0,0,0,0,0,0,0,0,0,0
105330032,"2019",0,0,0,0,0,0,0,0,0,0,0
105349001,"2019",0,0,0,0,0,0,0,0,0,0,0
105349002,"2019",0,0,0,0,0,0,0,0,0,0,0
105349003,"2019",0,0,0,0,0,0,0,0,0,0,0
105349004,"2019",0,0,0,0,0,0,0,0,0,0,0
105349006,"2019",0,0,0,0,0,0,0,0,0,0,0
105349007,"2019",0,0,0,0,0,0,0,0,0,0,0
105349008,"2019",0,0,0,0,0,0,0,0,0,0,0
105349009,"2019",0,0,0,0,0,0,0,0,0,0,0
105349010,"2019",0,0,0,0,0,0,0,0,0,0,0
105367001,"2019",0,0,0,0,0,0,0,0,0,0,0
105367004,"2019",0,0,0,0,0,0,0,0,0,0,0
105428001,"2019",0,0,0,0,0,0,1,0,1,0,0
105428002,"2019",0,0,0,0,0,0,0,0,0,0,0
105428003,"2019",0,0,0,0,0,0,0,0,0,0,0
105525001,"2019",0,0,0,0,0,0,0,0,4,7,0
105525002,"2019",0,0,0,0,0,0,2,0,0,4,0
105525004,"2019",0,0,0,0,0,0,0,0,0,0,0
105525005,"2019",0,0,0,0,0,0,0,0,0,1,0
105525006,"2019",0,0,0,0,0,0,0,0,1,1,0
105525008,"2019",0,0,0,0,0,0,0,0,0,0,0
105525010,"2019",0,0,0,0,0,0,0,0,2,0,0
105525011,"2019",0,0,0,1,0,0,0,0,0,0,0
105525015,"2019",0,0,0,0,0,0,0,0,0,0,0
105525016,"2019",0,0,0,0,0,0,0,0,0,0,0
105525017,"2019",0,0,0,0,0,0,0,0,0,0,0
105534001,"2019",0,0,0,0,0,0,0,0,0,0,0
105543001,"2019",0,0,0,0,0,0,0,0,0,0,0
105589001,"2019",0,0,0,0,0,0,0,0,1,0,0
105659001,"2019",0,0,0,0,0,0,0,0,0,0,0
