"UNITID","Students","Demographic"
121433,89,"Women"
121619,15931,"Men"
121619,11317,"Women"
121628,135,"Men"
121628,95,"Women"
121637,11,"Men"
121637,101,"Women"
121691,1229,"Men"
121691,1858,"Women"
121707,2183,"Men"
121707,2523,"Women"
121859,14,"Men"
121859,240,"Women"
121868,2,"Men"
121868,194,"Women"
121886,10345,"Men"
121886,7096,"Women"
121901,8975,"Men"
121901,12755,"Women"
122117,30,"Men"
122117,72,"Women"
122180,8223,"Men"
122180,11697,"Women"
122205,9416,"Men"
122205,11348,"Women"
122296,435,"Men"
122296,1491,"Women"
122339,6116,"Men"
122339,7126,"Women"
122375,8766,"Men"
122375,10446,"Women"
122384,7803,"Men"
122384,6454,"Women"
122409,17570,"Men"
122409,23567,"Women"
122436,4231,"Men"
122436,5483,"Women"
122506,237,"Men"
122506,202,"Women"
122597,10086,"Men"
122597,12477,"Women"
122612,3185,"Men"
122612,5728,"Women"
122649,65,"Men"
122649,89,"Women"
122658,8427,"Men"
122658,12542,"Women"
122685,609,"Men"
122685,1709,"Women"
122694,254,"Men"
122694,544,"Women"
122728,825,"Men"
122728,1040,"Women"
122746,3994,"Men"
122746,4615,"Women"
122755,18280,"Men"
122755,19381,"Women"
122791,4716,"Men"
122791,5185,"Women"
122889,5573,"Men"
122889,6761,"Women"
122931,4719,"Men"
122931,5009,"Women"
122977,10537,"Men"
122977,12916,"Women"
123013,7928,"Men"
123013,9926,"Women"
123095,182,"Men"
123095,875,"Women"
123165,7,"Men"
123165,1130,"Women"
123217,6245,"Men"
123217,8249,"Women"
123280,19,"Men"
123280,6,"Women"
123299,3880,"Men"
123299,5193,"Women"
123341,8856,"Men"
123341,10269,"Women"
123350,74,"Men"
123350,146,"Women"
123448,103,"Men"
123448,170,"Women"
123457,511,"Men"
123457,481,"Women"
123484,815,"Men"
123484,760,"Women"
123493,19,"Men"
123493,72,"Women"
123509,4302,"Men"
123509,5270,"Women"
123527,5836,"Men"
123527,8219,"Women"
123554,1148,"Men"
123554,1586,"Women"
123563,4278,"Men"
123563,5004,"Women"
123572,2307,"Men"
123572,3584,"Women"
123633,67,"Men"
123633,131,"Women"
123642,23,"Men"
123642,283,"Women"
123651,733,"Men"
123651,1513,"Women"
123679,56,"Men"
123679,158,"Women"
123800,9945,"Men"
123800,11041,"Women"
123916,14,"Men"
123916,63,"Women"
123943,173,"Men"
123943,480,"Women"
123952,252,"Men"
123952,166,"Women"
123961,21836,"Men"
123961,24730,"Women"
123970,403,"Men"
123970,603,"Women"
124113,2251,"Men"
124113,2213,"Women"
124283,129,"Men"
124283,84,"Women"
124292,280,"Men"
124292,286,"Women"
124487,44,"Men"
124487,54,"Women"
124681,544,"Men"
124681,535,"Women"
124706,31,"Men"
124706,191,"Women"
124937,46,"Men"
124937,112,"Women"
125028,5241,"Men"
125028,6981,"Women"
125037,100,"Men"
125037,188,"Women"
125082,24,"Men"
125082,74,"Women"
125091,3704,"Men"
125091,4719,"Women"
125170,2669,"Men"
125170,3609,"Women"
125231,7942,"Men"
125231,41499,"Women"
125310,5,"Men"
125310,41,"Women"
125462,1928,"Men"
125462,2247,"Women"
125471,3689,"Men"
125471,5566,"Women"
125499,3416,"Men"
125499,4239,"Women"
125532,709,"Men"
125532,1498,"Women"
125718,94,"Men"
125718,14,"Women"
125727,511,"Men"
125727,799,"Women"
125763,336,"Men"
125763,459,"Women"
125897,385,"Men"
125897,464,"Women"
126012,112,"Men"
126012,406,"Women"
126049,92,"Men"
126049,170,"Women"
126076,163,"Men"
126076,0,"Women"
126119,2501,"Men"
126119,3819,"Women"
126182,1289,"Men"
126182,1612,"Women"
126207,4130,"Men"
126207,4412,"Women"
126289,6979,"Men"
126289,8033,"Women"
126359,13,"Men"
126359,126,"Women"
126562,9211,"Men"
126562,13913,"Women"
126580,5224,"Men"
126580,6130,"Women"
126605,354,"Men"
126605,43,"Women"
126614,20649,"Men"
126614,18150,"Women"
126669,3314,"Men"
126669,6637,"Women"
126678,895,"Men"
126678,1161,"Women"
126687,34,"Men"
126687,222,"Women"
126711,2298,"Men"
126711,3196,"Women"
126748,543,"Men"
126748,728,"Women"
126775,5474,"Men"
126775,2570,"Women"
126784,78,"Men"
126784,7,"Women"
126818,15092,"Men"
126818,19004,"Women"
126827,11328,"Men"
126827,20502,"Women"
126863,3742,"Men"
126863,5091,"Women"
126915,85,"Men"
126915,219,"Women"
126942,2995,"Men"
126942,4970,"Women"
126951,1074,"Men"
126951,138,"Women"
126979,408,"Men"
126979,439,"Women"
127060,5062,"Men"
127060,7751,"Women"
127158,5328,"Men"
127158,795,"Women"
127185,1619,"Men"
127185,1925,"Women"
127200,9604,"Men"
127200,12366,"Women"
127273,65,"Men"
127273,101,"Women"
127316,57,"Men"
127316,191,"Women"
127389,319,"Men"
127389,371,"Women"
127556,4461,"Men"
127556,5324,"Women"
127565,8180,"Men"
127565,10273,"Women"
127617,577,"Men"
127617,1049,"Women"
127653,309,"Men"
127653,785,"Women"
127714,288,"Men"
127714,239,"Women"
127732,598,"Men"
127732,1086,"Women"
127741,2808,"Men"
127741,6061,"Women"
127778,396,"Men"
127778,563,"Women"
127820,5194,"Men"
127820,7362,"Women"
127884,2946,"Men"
127884,4338,"Women"
127909,4033,"Men"
127909,4386,"Women"
127918,1507,"Men"
127918,3098,"Women"
127945,488,"Men"
127945,1573,"Women"
127954,2,"Men"
127954,41,"Women"
128106,2745,"Men"
128106,4106,"Women"
128151,553,"Men"
128151,507,"Women"
128179,500,"Men"
128179,179,"Women"
128188,421,"Men"
128188,656,"Women"
128258,740,"Men"
128258,873,"Women"
128328,2900,"Men"
128328,1214,"Women"
128337,4,"Men"
128337,145,"Women"
128391,1681,"Men"
128391,1887,"Women"
128498,440,"Men"
128498,799,"Women"
128586,46,"Men"
128586,0,"Women"
128744,1509,"Men"
128744,2329,"Women"
128771,5066,"Men"
128771,4931,"Women"
128780,416,"Men"
128780,1596,"Women"
128896,22,"Men"
128896,187,"Women"
128902,784,"Men"
128902,1206,"Women"
129002,262,"Men"
129002,140,"Women"
129020,12706,"Men"
129020,15600,"Women"
129154,480,"Men"
129154,2490,"Women"
129181,869,"Men"
129181,139,"Women"
129215,1773,"Men"
129215,2582,"Women"
129242,2778,"Men"
129242,4086,"Women"
129349,2,"Men"
129349,176,"Women"
129367,14128,"Men"
129367,22187,"Women"
129482,26,"Men"
129482,376,"Women"
129491,52,"Men"
129491,57,"Women"
129525,2420,"Men"
129525,3595,"Women"
129534,467,"Men"
129534,252,"Women"
129774,233,"Men"
129774,209,"Women"
129923,407,"Men"
129923,521,"Women"
129932,243,"Men"
129932,46,"Women"
129941,4106,"Men"
129941,5123,"Women"
130174,906,"Men"
130174,467,"Women"
130183,4484,"Men"
130183,11694,"Women"
130226,3566,"Men"
130226,5858,"Women"
130253,3917,"Men"
130253,7105,"Women"
130314,477,"Men"
130314,1475,"Women"
130493,3458,"Men"
130493,5919,"Women"
130590,1053,"Men"
130590,1185,"Women"
130624,701,"Men"
130624,407,"Women"
130697,1892,"Men"
130697,2119,"Women"
130776,1952,"Men"
130776,2217,"Women"
130794,7275,"Men"
130794,8289,"Women"
130837,5,"Men"
130837,46,"Women"
130873,106,"Men"
130873,249,"Women"
130907,4423,"Men"
130907,8914,"Women"
130934,1826,"Men"
130934,3501,"Women"
130943,10041,"Men"
130943,14371,"Women"
130989,470,"Men"
130989,531,"Women"
131061,6,"Men"
131061,146,"Women"
131113,5329,"Men"
131113,8417,"Women"
131159,4592,"Men"
131159,7729,"Women"
131283,2533,"Men"
131283,2710,"Women"
131399,1457,"Men"
131399,2745,"Women"
131405,57,"Men"
131405,17,"Women"
131450,521,"Men"
131450,814,"Women"
131469,9655,"Men"
131469,15719,"Women"
131496,8833,"Men"
131496,11198,"Women"
131520,4420,"Men"
131520,10470,"Women"
131803,51,"Men"
131803,137,"Women"
131830,9,"Men"
131830,7,"Women"
131876,105,"Men"
131876,1843,"Women"
131973,174,"Men"
131973,200,"Women"
132374,2774,"Men"
132374,530,"Women"
132408,366,"Men"
132408,351,"Women"
132471,2338,"Men"
132471,4487,"Women"
132602,1066,"Men"
132602,1787,"Women"
132657,1695,"Men"
132657,1819,"Women"
132675,49,"Men"
132675,50,"Women"
132693,5673,"Men"
132693,8380,"Women"
132709,12426,"Men"
132709,18302,"Women"
132842,117,"Men"
132842,701,"Women"
132851,2146,"Men"
132851,3782,"Women"
132903,32056,"Men"
132903,37657,"Women"
132976,187,"Men"
132976,143,"Women"
133021,791,"Men"
133021,1143,"Women"
133155,425,"Men"
133155,450,"Women"
133386,4983,"Men"
133386,7837,"Women"
133465,129,"Men"
133465,304,"Women"
133492,566,"Men"
133492,1327,"Women"
133508,5185,"Men"
133508,9116,"Women"
133526,618,"Men"
133526,559,"Women"
133553,8153,"Men"
133553,3273,"Women"
133650,3212,"Men"
133650,6101,"Women"
133669,13580,"Men"
133669,18027,"Women"
