"unitid","Year","Weapon Possession (Discipline)","Drug Law Violation","Liquor Law Violation"
"129154","2023",0,0,0
"129181","2023",0,1,0
"129215","2023",0,9,60
"129242","2023",1,19,147
"129349","2023",0,0,0
"129482","2023",0,0,0
"129491","2023",0,0,0
"129534","2023",0,0,0
"129774","2023",0,0,0
"129923","2023",0,0,0
"129932","2023",0,0,0
"129941","2023",1,13,104
"130183","2023",0,24,7
"130493","2023",1,35,65
"130590","2023",0,7,21
"130697","2023",1,49,76
"130837","2023",0,0,0
"130873","2023",0,0,0
"130989","2023",0,4,6
"131061","2023",0,0,0
"131283","2023",0,36,248
"131405","2023",0,0,0
"131450","2023",2,122,291
"131830","2023",0,0,0
"131876","2023",0,0,0
"131973","2023",0,0,0
"132374","2023",0,0,0
"132408","2023",0,0,0
"132657","2023",0,26,90
"132675","2023",0,0,0
"132842","2023",0,0,0
"132976","2023",0,0,0
"133021","2023",0,0,0
"133155","2023",0,0,0
"133465","2023",0,0,0
"133526","2023",8,27,5
"133553","2023",0,11,95
"133809","2023",0,0,0
"133845","2023",0,0,0
"133854","2023",0,0,0
"133863","2023",0,0,0
"133979","2023",0,0,0
"134024","2023",0,0,0
"134079","2023",0,8,12
"134237","2023",1,1,0
"134291","2023",0,0,0
"134307","2023",0,0,0
"134510","2023",0,0,0
"134529","2023",0,0,0
"134574","2023",0,0,0
"134714","2023",0,0,0
"134945","2023",0,2,53
"135142","2023",0,0,0
"135160","2023",0,0,0
"135179","2023",0,0,0
"135267","2023",0,0,0
"135276","2023",0,0,0
"135294","2023",0,0,0
"135337","2023",0,0,0
"135364","2023",0,0,0
"135407","2023",0,0,0
"135522","2023",0,0,0
"135559","2023",0,0,0
"135735","2023",0,0,0
"136109","2023",0,0,0
"136145","2023",0,0,0
"136172","2023",4,33,172
"136303","2023",0,0,0
"136491","2023",0,0,0
"136659","2023",0,0,0
"136701","2023",0,0,0
"136765","2023",0,0,0
"136774","2023",0,4,3
"136826","2023",0,0,0
