"Year","UNITID","Total","Undergraduate","Graduate","First-Time Students"
2014,134714,265,265,NA,37
2014,134811,2846,2780,66,321
2014,134909,471,471,NA,66
2014,134945,4085,3223,862,393
2014,135063,495,495,NA,5
2014,135081,19110,18101,1009,2474
2014,135124,738,738,NA,151
2014,135142,251,251,NA,13
2014,135160,2912,2912,NA,296
2014,135179,669,669,NA,279
2014,135188,4470,4470,NA,462
2014,135267,705,705,NA,321
2014,135276,907,907,NA,301
2014,135294,716,716,NA,178
2014,135337,186,186,NA,14
2014,135364,1218,491,727,3
2014,135391,10314,10314,NA,1301
2014,135407,928,928,NA,576
2014,135416,160,160,NA,45
2014,135522,351,351,NA,217
2014,135559,75,75,NA,1
2014,135610,293,230,63,NA
2014,135647,935,935,NA,252
2014,135717,66046,66046,NA,8822
2014,135726,16674,11175,5499,2052
2014,135735,1826,1826,NA,303
2014,135771,575,575,NA,171
2014,135939,151,151,NA,47
2014,135957,196,196,NA,NA
2014,136048,66,66,NA,11
2014,136066,713,713,NA,123
2014,136109,133,133,NA,19
2014,136145,1289,1289,NA,131
2014,136172,15984,14121,1863,1792
2014,136206,710,677,33,106
2014,136215,24148,4699,19449,565
2014,136233,6295,6295,NA,571
2014,136288,634,584,50,34
2014,136303,909,909,NA,118
2014,136330,3865,3021,844,523
2014,136358,28517,28517,NA,1729
2014,136400,11263,11263,NA,1636
2014,136473,10317,10317,NA,1028
2014,136491,1233,1233,NA,608
2014,136516,11060,11060,NA,819
2014,136659,895,895,NA,108
2014,136701,120,NA,120,NA
2014,136765,664,664,NA,386
2014,136774,1219,1219,NA,268
2014,136783,34,34,NA,13
2014,136826,624,624,NA,156
2014,136950,3207,2670,537,540
2014,137023,542,542,NA,144
2014,137032,16349,12581,3768,616
2014,137078,32681,32681,NA,2128
2014,137087,1488,1488,NA,400
2014,137096,15055,15055,NA,1632
2014,137120,346,346,NA,91
2014,137148,690,146,544,NA
2014,137209,18399,18399,NA,1911
2014,137245,1465,1465,NA,760
2014,137272,108,77,31,6
2014,137281,7114,7114,NA,604
2014,137315,2780,2780,NA,311
2014,137351,41938,31067,10871,4071
2014,137476,2217,931,1286,162
2014,137537,164,164,NA,4
2014,137546,4137,2841,1296,773
2014,137564,3834,3436,398,842
2014,137591,307,307,NA,76
2014,137713,145,145,NA,95
2014,137759,13049,13049,NA,2056
2014,137777,61,46,15,10
2014,137801,537,518,19,50
2014,137810,439,426,13,27
2014,137847,7683,6823,860,1752
2014,137856,142,142,NA,60
2014,137865,395,395,NA,94
2014,137953,389,366,23,104
