"UNITID","YEAR","Total Students"
109721,"2023",357
109721,"2022",354
109730,"2023",198
109730,"2022",108
109785,"2024",7906
109785,"2023",8426
109785,"2022",9415
109819,"2024",45178
109819,"2023",39530
109819,"2022",37017
109907,"2024",5085
109907,"2023",4614
109907,"2022",3615
109934,"2024",673
109934,"2023",648
109934,"2022",682
110060,"2024",352
110060,"2023",345
110060,"2022",443
110097,"2024",5846
110097,"2023",5857
110097,"2022",6090
110194,"2024",471
110194,"2023",419
110194,"2022",391
110219,"2024",3999
110219,"2023",3303
110219,"2022",2550
110246,"2024",13048
110246,"2023",12523
110246,"2022",12205
110316,"2024",2402
110316,"2023",2475
110316,"2022",2317
110334,"2024",14569
110334,"2023",14079
110334,"2022",13574
110361,"2024",13806
110361,"2023",13556
110361,"2022",13883
110370,"2024",1632
110370,"2023",1649
110370,"2022",1770
110398,"2024",1235
110398,"2023",1213
110398,"2022",1159
110404,"2024",2548
110404,"2023",2518
110404,"2022",2501
110413,"2024",3925
110413,"2023",4185
110413,"2022",4330
110422,"2024",23829
110422,"2023",23290
110422,"2022",23187
110468,"2024",5576
110468,"2023",5299
110468,"2022",5546
110486,"2024",11993
110486,"2023",12062
110486,"2022",12639
110495,"2024",11300
110495,"2023",11486
110495,"2022",12022
110510,"2024",21236
110510,"2023",21960
110510,"2022",21752
110529,"2024",29319
110529,"2023",29442
110529,"2022",31117
110538,"2024",15936
110538,"2023",15709
110538,"2022",17049
110547,"2024",17196
110547,"2023",18253
110547,"2022",19500
110556,"2024",26013
110556,"2023",25971
110556,"2022",26981
110565,"2024",46633
110565,"2023",45255
110565,"2022",45855
110574,"2024",15103
110574,"2023",15404
110574,"2022",17465
110583,"2024",44099
110583,"2023",43106
110583,"2022",43743
110592,"2024",27493
110592,"2023",28820
110592,"2022",29819
110608,"2024",42018
110608,"2023",41751
110608,"2022",42700
110617,"2024",36908
110617,"2023",36945
110617,"2022",36505
110635,"2024",48556
110635,"2023",48230
110635,"2022",47911
110644,"2024",41916
110644,"2023",42046
110644,"2022",42855
110653,"2024",38546
110653,"2023",38000
110653,"2022",38705
110662,"2024",49388
110662,"2023",49010
110662,"2022",48638
110671,"2024",28335
110671,"2023",28886
110671,"2022",28930
110680,"2024",44416
110680,"2023",44050
110680,"2022",44132
110699,"2024",3184
110699,"2023",3251
110699,"2022",3286
110705,"2024",27662
110705,"2023",28257
110705,"2022",28256
110714,"2024",21313
110714,"2023",21109
110714,"2022",21432
110778,"2024",1307
110778,"2023",1322
110778,"2022",1736
110875,"2024",127
110875,"2023",110
110875,"2022",104
110918,"2022",28
111045,"2024",119
111045,"2023",118
111045,"2022",91
111054,"2024",176
111054,"2023",219
111054,"2022",162
111081,"2024",1386
111081,"2023",1475
111081,"2022",1495
111188,"2024",924
111188,"2023",935
111188,"2022",1051
111391,"2024",674
111391,"2023",658
111391,"2022",815
111434,"2024",10971
111434,"2023",9782
111434,"2022",9059
111461,"2024",31952
111461,"2023",31071
111461,"2022",27936
111513,"2024",395
111513,"2023",368
111513,"2022",345
111638,"2024",832
111638,"2023",626
111638,"2022",498
111708,"2024",349
111708,"2023",326
111708,"2022",353
111717,"2024",335
111717,"2023",301
111717,"2022",329
111726,"2024",256
111726,"2023",263
111726,"2022",309
111744,"2024",289
111744,"2023",222
111744,"2022",196
111762,"2024",241
111762,"2023",213
111762,"2022",181
111799,"2024",306
111799,"2023",279
111799,"2022",273
111887,"2024",30699
111887,"2023",28050
111887,"2022",26691
111896,"2024",9239
111896,"2023",8063
111896,"2022",7778
111920,"2024",18536
111920,"2023",17054
111920,"2022",17500
111939,"2024",32265
111939,"2023",29462
111939,"2022",27715
111948,"2024",10474
111948,"2023",10655
111948,"2022",10436
111966,"2024",1107
111966,"2023",1100
111966,"2022",1244
112075,"2024",4913
112075,"2023",5023
112075,"2022",5037
112084,"2024",150
112084,"2023",493
112084,"2022",619
112127,"2024",72
112127,"2023",66
112127,"2022",81
112172,"2024",14780
112172,"2023",14585
112172,"2022",14394
112181,"2024",188
112181,"2023",241
112181,"2022",182
112190,"2024",26918
112190,"2023",26119
112190,"2022",26792
112251,"2024",1967
112251,"2023",2053
112251,"2022",2136
112260,"2024",1419
112260,"2023",1413
112260,"2022",1433
112288,"2024",1163
112288,"2023",900
112288,"2022",660
112367,"2024",691
112367,"2023",582
112367,"2022",432
112385,"2024",16323
112385,"2023",14752
112385,"2022",13843
112394,"2024",621
112394,"2023",525
112394,"2022",543
112455,"2024",193
112455,"2023",202
112455,"2022",222
112525,"2024",3760
112525,"2023",3875
112525,"2022",3931
112561,"2024",3653
112561,"2023",3611
112561,"2022",3304
112570,"2024",164
112570,"2023",462
112570,"2022",1040
112686,"2024",7164
112686,"2023",5963
112686,"2022",5932
112826,"2024",9621
112826,"2023",9415
112826,"2022",8786
113096,"2024",23132
113096,"2023",20690
113096,"2022",21255
113111,"2024",9263
113111,"2023",7469
113111,"2022",7444
113193,"2024",14945
113193,"2023",14378
113193,"2022",13943
113218,"2024",13482
113218,"2023",12859
113218,"2022",12428
113236,"2024",20211
113236,"2023",18806
113236,"2022",18759
113333,"2024",28620
113333,"2023",26518
113333,"2022",26779
113449,"2024",279
113449,"2023",305
113449,"2022",288
113537,"2023",8
113537,"2022",13
113573,"2024",15931
113573,"2023",14165
113573,"2022",14068
113582,"2024",128
113582,"2023",148
113582,"2022",145
113616,"2024",45
113616,"2022",46
113634,"2024",24627
113634,"2023",24223
113634,"2022",25369
113698,"2024",2413
113698,"2023",2558
113698,"2022",2153
113704,"2024",67
113704,"2023",64
113704,"2022",71
113856,"2024",58027
113856,"2023",48505
113856,"2022",49266
113980,"2024",32070
113980,"2023",30239
113980,"2022",28431
114114,"2024",208
114114,"2023",232
114114,"2022",260
114123,"2023",88
114123,"2022",153
114266,"2024",15212
114266,"2023",13177
114266,"2022",12698
114354,"2024",1550
114354,"2023",2115
114354,"2022",2163
114433,"2024",2878
114433,"2023",2717
114433,"2022",2534
114460,"2024",395
114460,"2023",493
114460,"2022",513
114549,"2024",1303
114549,"2023",1393
114549,"2022",1436
114585,"2024",360
114585,"2023",398
114585,"2022",465
114637,"2024",94
114637,"2023",103
114637,"2022",117
114716,"2024",24501
114716,"2023",23254
114716,"2022",23194
114734,"2024",98
114734,"2023",83
114734,"2022",71
114761,"2024",117
114761,"2023",135
114761,"2022",116
114789,"2024",38808
114789,"2023",36503
114789,"2022",33518
114813,"2024",3531
114813,"2023",3956
114813,"2022",4120
114840,"2024",2701
114840,"2023",2983
114840,"2022",3201
114859,"2024",26864
114859,"2023",26447
114859,"2022",26102
114938,"2024",9204
114938,"2023",8452
114938,"2022",6649
114947,"2024",250
114947,"2023",248
114947,"2022",134
115001,"2024",16366
115001,"2023",15757
115001,"2022",16523
115010,"2024",1240
115010,"2023",1023
115010,"2022",949
115083,"2024",5866
115083,"2023",4902
115083,"2022",3673
115126,"2024",17968
115126,"2023",17298
115126,"2022",16795
115214,"2024",188
115214,"2023",182
115214,"2022",207
115296,"2024",19622
115296,"2023",18592
115296,"2022",18249
115357,"2024",287
115357,"2023",261
115357,"2022",226
115393,"2024",14561
115393,"2023",11487
115393,"2022",13758
115409,"2024",1016
115409,"2023",997
115409,"2022",981
115658,"2024",115
115658,"2023",135
115658,"2022",140
115728,"2022",1246
115746,"2024",956
115746,"2023",955
115746,"2022",985
115755,"2024",6780
115755,"2023",6689
115755,"2022",6615
115773,"2024",897
115773,"2023",661
115773,"2022",559
115861,"2024",11097
115861,"2023",10716
115861,"2022",10185
115931,"2024",1139
115931,"2023",991
115931,"2022",1145
116226,"2024",146
116226,"2023",164
116226,"2022",187
116350,"2023",163
116350,"2022",242
116439,"2024",17862
116439,"2023",16462
116439,"2022",17098
116563,"2024",318
116563,"2023",315
116563,"2022",366
116846,"2024",244
116846,"2023",188
116846,"2022",148
117052,"2024",15045
117052,"2023",12583
117052,"2022",10784
117104,"2024",596
117104,"2023",556
117104,"2022",620
117140,"2024",6589
117140,"2023",7143
117140,"2022",7344
117168,"2024",893
117168,"2023",824
117168,"2022",806
117195,"2024",9293
117195,"2023",8526
117195,"2022",6235
117238,"2024",173
117238,"2023",191
117238,"2022",144
117247,"2024",16374
117247,"2023",15913
117247,"2022",14309
117274,"2024",2798
117274,"2023",2991
117274,"2022",2885
117283,"2024",118
117283,"2023",60
117283,"2022",57
117520,"2024",748
117520,"2023",714
117520,"2022",731
117557,"2024",623
117557,"2023",589
117557,"2022",454
117575,"2024",237
117575,"2023",222
117575,"2022",234
117627,"2024",1917
117627,"2023",1927
117627,"2022",2073
117636,"2024",4979
117636,"2023",4993
117636,"2022",5095
117645,"2024",35542
117645,"2023",32177
117645,"2022",32638
117672,"2024",4324
117672,"2023",3801
117672,"2022",4038
117690,"2024",16412
117690,"2023",12750
117690,"2022",11263
117706,"2024",25666
117706,"2023",23796
117706,"2022",22698
117715,"2024",10263
117715,"2023",9536
117715,"2022",8917
117724,"2024",21049
117724,"2023",17544
117724,"2022",16958
117733,"2024",26580
117733,"2023",24256
117733,"2022",23180
117751,"2024",3118
117751,"2023",3396
117751,"2022",3171
117788,"2024",25304
117788,"2023",23627
117788,"2022",23589
117803,"2024",322
117803,"2023",293
117803,"2022",249
117867,"2024",19099
117867,"2023",16752
117867,"2022",15825
117894,"2024",11638
117894,"2023",11258
117894,"2022",11148
117946,"2024",11120
117946,"2023",11066
117946,"2022",10974
117955,"2024",454
117955,"2023",503
117955,"2022",431
118134,"2024",169
118134,"2023",198
118134,"2022",140
118143,"2024",153
118143,"2023",150
118143,"2022",179
