UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
140720,1,999,"Z",0,"R",5,"R",288,"R",726,"R",1,"Z",0,"R",1,"Z",0,"R",1,"R",2,"R",2,"R",5,"R",3,"R",5,"R",296,"R",743,"R",5,"R",1014,"R",1,"R",1,"R",3,"R",7,"R",8,"R",1039
140720,2,  1,"Z",0,"R",5,"R",288,"R",726,"R",1,"Z",0,"R",1,"Z",0,"R",1,"R",2,"R",2,"R",5,"R",3,"R",5,"R",296,"R",743,"R",5,"R",1014,"R",1,"R",1,"R",3,"R",7,"R",8,"R",1039
140809,1,999,"Z",0,"Z",0,"R",8,"R",21,"R",2,"R",4,"Z",0,"R",4,"R",8,"R",3,"R",540,"R",1191,"R",1,"R",5,"R",559,"R",1228,"Z",0,"R",29,"R",6,"R",4,"R",11,"R",1731,"R",6,"R",1787
140809,2,  1,"Z",0,"Z",0,"R",8,"R",21,"R",2,"R",4,"Z",0,"R",4,"R",8,"R",3,"R",540,"R",1191,"R",1,"R",5,"R",559,"R",1228,"Z",0,"R",29,"R",6,"R",4,"R",11,"R",1731,"R",6,"R",1787
140818,1,999,"Z",0,"R",4,"R",35,"R",109,"R",1,"R",4,"R",8,"R",11,"R",12,"R",25,"R",599,"R",1609,"R",13,"R",34,"R",668,"R",1796,"R",4,"R",144,"R",5,"R",19,"R",37,"R",2208,"R",47,"R",2464
140818,2,  1,"Z",0,"R",2,"R",18,"R",46,"R",1,"R",3,"R",6,"R",7,"R",10,"R",16,"R",370,"R",680,"R",6,"R",16,"R",411,"R",770,"R",2,"R",64,"R",4,"R",13,"R",26,"R",1050,"R",22,"R",1181
140818,4,  3,"Z",0,"R",2,"R",17,"R",63,"Z",0,"R",1,"R",2,"R",4,"R",2,"R",9,"R",229,"R",929,"R",7,"R",18,"R",257,"R",1026,"R",2,"R",80,"R",1,"R",6,"R",11,"R",1158,"R",25,"R",1283
140827,1,999,"R",1,"R",4,"R",4,"R",12,"Z",0,"Z",0,"R",6,"R",12,"R",6,"R",9,"R",49,"R",120,"R",8,"R",2,"R",74,"R",159,"R",5,"R",16,"Z",0,"R",18,"R",15,"R",169,"R",10,"R",233
140827,2,  1,"R",1,"R",4,"R",4,"R",12,"Z",0,"Z",0,"R",6,"R",12,"R",6,"R",9,"R",49,"R",120,"R",8,"R",2,"R",74,"R",159,"R",5,"R",16,"Z",0,"R",18,"R",15,"R",169,"R",10,"R",233
140872,1,999,"R",8,"R",4,"R",22,"R",46,"R",3,"R",2,"R",4,"R",6,"R",16,"R",10,"R",414,"R",659,"R",20,"R",30,"R",487,"R",757,"R",12,"R",68,"R",5,"R",10,"R",26,"R",1073,"R",50,"R",1244
