UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
409333,2,  1,"R",44,"R",52,"R",1,"R",4,"Z",0,"Z",0,"Z",0,"R",2,"R",4,"R",3,"R",9,"R",11,"R",6,"R",6,"R",64,"R",78,"R",96,"R",5,"Z",0,"R",2,"R",7,"R",20,"R",12,"R",142
409537,1,999,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",54,"R",101,"Z",0,"Z",0,"R",54,"R",101,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",155,"Z",0,"R",155
409537,2,  1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",54,"R",101,"Z",0,"Z",0,"R",54,"R",101,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",155,"Z",0,"R",155
409546,1,999,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",82,"R",247,"Z",0,"Z",0,"Z",0,"Z",0,"R",82,"R",247,"Z",0,"Z",0,"Z",0,"Z",0,"R",329,"Z",0,"Z",0,"R",329
409546,2,  1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",82,"R",247,"Z",0,"Z",0,"Z",0,"Z",0,"R",82,"R",247,"Z",0,"Z",0,"Z",0,"Z",0,"R",329,"Z",0,"Z",0,"R",329
409591,1,999,"Z",0,"Z",0,"R",5,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",7,"R",40,"R",49,"Z",0,"Z",0,"R",50,"R",63,"Z",0,"R",12,"Z",0,"Z",0,"R",12,"R",89,"Z",0,"R",113
409591,2,  1,"Z",0,"Z",0,"R",5,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",7,"R",40,"R",49,"Z",0,"Z",0,"R",50,"R",63,"Z",0,"R",12,"Z",0,"Z",0,"R",12,"R",89,"Z",0,"R",113
409616,1,999,"R",3,"R",2,"R",9,"R",10,"Z",0,"R",2,"R",10,"R",13,"R",11,"R",8,"R",239,"R",235,"R",43,"R",28,"R",315,"R",298,"R",5,"R",19,"R",2,"R",23,"R",19,"R",474,"R",71,"R",613
409616,3,  2,"R",3,"R",2,"R",9,"R",10,"Z",0,"R",2,"R",10,"R",13,"R",11,"R",8,"R",239,"R",235,"R",43,"R",28,"R",315,"R",298,"R",5,"R",19,"R",2,"R",23,"R",19,"R",474,"R",71,"R",613
409670,1,999,"Z",0,"R",1,"R",72,"R",362,"Z",0,"R",5,"R",10,"R",25,"R",296,"R",1001,"R",26,"R",126,"R",5,"R",48,"R",409,"R",1568,"R",1,"R",434,"R",5,"R",35,"R",1297,"R",152,"R",53,"R",1977
