unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
100937,2,1,"R",1,"R",1,"R",35,"R",48,"R",1,"R",3,"R",16,"R",16,"R",6,"R",3,"R",488,"R",691,"R",5,"R",2,"R",552,"R",764,"R",2,"R",83,"R",4,"R",32,"R",9,"R",1179,"R",7,"R",1316
100937,4,3,"R",0,"R",1,"R",12,"R",21,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",31,"R",23,"R",1,"R",0,"R",45,"R",46,"R",1,"R",33,"R",2,"Z",0,"Z",0,"R",54,"R",1,"R",91
100973,1,999,"Z",0,"Z",0,"R",71,"R",94,"R",1,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",131,"R",97,"R",5,"R",1,"R",210,"R",192,"Z",0,"R",165,"R",1,"R",2,"Z",0,"R",228,"R",6,"R",402
100973,2,1,"Z",0,"Z",0,"R",71,"R",94,"R",1,"Z",0,"R",2,"Z",0,"R",0,"Z",0,"R",131,"R",97,"R",5,"R",1,"R",210,"R",192,"Z",0,"R",165,"R",1,"R",2,"Z",0,"R",228,"R",6,"R",402
101028,1,999,"Z",0,"Z",0,"R",310,"R",816,"R",5,"R",5,"R",11,"R",20,"R",30,"R",49,"R",654,"R",996,"R",22,"R",36,"R",1032,"R",1922,"Z",0,"R",1126,"R",10,"R",31,"R",79,"R",1650,"R",58,"R",2954
101028,2,1,"Z",0,"Z",0,"R",310,"R",816,"R",5,"R",5,"R",11,"R",20,"R",30,"R",49,"R",654,"R",996,"R",22,"R",36,"R",1032,"R",1922,"Z",0,"R",1126,"R",10,"R",31,"R",79,"R",1650,"R",58,"R",2954
101073,1,999,"R",23,"R",12,"R",243,"R",954,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",44,"R",70,"Z",0,"Z",0,"R",310,"R",1036,"R",35,"R",1197,"Z",0,"Z",0,"Z",0,"R",114,"Z",0,"R",1346
101073,2,1,"R",23,"R",12,"R",243,"R",954,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",44,"R",70,"Z",0,"Z",0,"R",310,"R",1036,"R",35,"R",1197,"Z",0,"Z",0,"Z",0,"R",114,"Z",0,"R",1346
101107,1,999,"Z",0,"Z",0,"R",50,"R",97,"R",1,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",260,"R",327,"Z",0,"Z",0,"R",312,"R",425,"Z",0,"R",147,"R",1,"R",1,"R",1,"R",587,"Z",0,"R",737
101107,2,1,"Z",0,"Z",0,"R",50,"R",97,"R",1,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",260,"R",327,"Z",0,"Z",0,"R",312,"R",425,"Z",0,"R",147,"R",1,"R",1,"R",1,"R",587,"Z",0,"R",737
101116,1,999,"Z",0,"Z",0,"R",64,"R",248,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2,"R",29,"R",127,"Z",0,"Z",0,"R",93,"R",378,"Z",0,"R",312,"Z",0,"R",1,"R",2,"R",156,"Z",0,"R",471
101116,2,1,"Z",0,"Z",0,"R",64,"R",248,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2,"R",29,"R",127,"Z",0,"Z",0,"R",93,"R",378,"Z",0,"R",312,"Z",0,"R",1,"R",2,"R",156,"Z",0,"R",471
